market,BBW_THRESHOLD,BB_PERIOD,BB_STD_DEV,ATR_MULTIPLIER_TP,ATR_MULTIPLIER_SL,trading_fee,win_count,loss_count,pnl
BUZZUSDT,0.07,21,2.1,3,3.0,0.0061,97,68,208.8163257007201
BUZZUSDT,0.04,18,1.8,4,1.0,0.0061,124,308,208.73194730540408
BUZZUSDT,0.04,20,1.8,4,4.0,0.0061,86,70,208.61191367745784
BUZZUSDT,0.08,19,1.9,3,3.0,0.0061,87,62,208.58866301769808
BUZZUSDT,0.07,21,2.2,4,3.0,0.0061,71,61,208.3744998918121
BUZZUSDT,0.1,20,1.8,4,2.0,0.0061,51,64,208.3528197811246
BUZZUSDT,0.09,18,1.8,3,1.5,0.0061,81,94,208.04460415979503
BUZZUSDT,0.07,21,2.0,4,1.0,0.0061,78,179,207.86914658667064
BUZZUSDT,0.07,20,1.8,3,3.0,0.0061,107,79,207.7567459190329
BUZZUSDT,0.04,18,2.0,3,2.0,0.0061,151,179,207.52066595867493
BUZZUSDT,0.05,21,2.0,4,4.0,0.0061,86,69,207.3306105178128
BUZZUSDT,0.1,21,1.7,4,1.0,0.0061,56,116,207.1873769778466
BUZZUSDT,0.07,20,1.9,4,3.0,0.0061,72,71,207.1076057998336
BUZZUSDT,0.05,19,1.8,3,2.0,0.0061,154,177,206.80215276625577
BUZZUSDT,0.08,21,2.1,4,2.0,0.0061,69,82,206.7515332584336
BUZZUSDT,0.04,21,2.0,4,2.0,0.0061,102,147,206.51168416301508
BUZZUSDT,0.09,19,1.8,3,1.5,0.0061,79,93,206.48459784123887
BUZZUSDT,0.05,19,1.8,4,2.0,0.0061,102,151,206.28235545664128
BUZZUSDT,0.04,19,1.7,3,3.0,0.0061,146,122,206.0888017891435
BUZZUSDT,0.08,21,2.1,4,3.0,0.0061,67,59,206.01837753671268
BUZZUSDT,0.08,20,1.9,4,1.0,0.0061,73,160,205.94882786923068
BUZZUSDT,0.06,19,1.7,4,1.0,0.0061,106,271,205.6834698653917
BUZZUSDT,0.06,20,2.1,3,2.0,0.0061,117,128,205.62921400256164
BUZZUSDT,0.06,18,1.9,4,2.0,0.0061,92,135,205.38170459408232
BUZZUSDT,0.09,20,1.9,3,1.5,0.0061,77,90,205.32593856828765
BUZZUSDT,0.05,21,2.1,4,4.0,0.0061,88,69,205.1583922512565
BUZZUSDT,0.04,20,2.0,3,2.0,0.0061,155,177,205.1464639791308
BUZZUSDT,0.05,21,1.9,4,1.0,0.0061,107,274,205.0773809604009
BUZZUSDT,0.07,19,1.9,4,4.0,0.0061,75,55,205.0702588998409
BUZZUSDT,0.07,20,1.8,4,4.0,0.0061,75,57,204.76185334547
BUZZUSDT,0.04,20,2.2,3,2.0,0.0061,137,157,204.24427772039425
BUZZUSDT,0.06,19,1.7,3,2.0,0.0061,137,157,203.91032355411105
BUZZUSDT,0.08,20,2.2,4,3.0,0.0061,62,53,203.89419117758217
BUZZUSDT,0.05,19,2.2,3,2.0,0.0061,128,142,203.83705736164413
BUZZUSDT,0.08,21,2.0,4,3.0,0.0061,67,60,203.7713373607233
BUZZUSDT,0.07,21,2.0,4,4.0,0.0061,77,55,203.69515960676108
BUZZUSDT,0.1,20,1.9,4,1.0,0.0061,49,92,203.6869173544579
BUZZUSDT,0.04,21,2.2,4,2.0,0.0061,103,141,203.6738383798769
BUZZUSDT,0.1,20,1.7,4,2.0,0.0061,53,71,203.2945920208392
BUZZUSDT,0.07,21,2.1,4,3.0,0.0061,74,68,203.21099948917188
BUZZUSDT,0.07,18,1.8,4,4.0,0.0061,74,56,203.0180339923405
BUZZUSDT,0.08,18,1.8,3,3.0,0.0061,90,66,203.0109900641979
BUZZUSDT,0.07,19,2.0,4,1.0,0.0061,78,179,202.82614768922983
BUZZUSDT,0.04,18,1.8,4,2.0,0.0061,108,162,202.4253997365252
BUZZUSDT,0.05,21,1.7,4,2.0,0.0061,98,150,202.3690602338368
BUZZUSDT,0.06,20,1.8,4,1.0,0.0061,99,252,202.3102424738288
BUZZUSDT,0.07,19,1.8,4,4.0,0.0061,74,56,202.1774250030664
BUZZUSDT,0.07,21,1.8,3,3.0,0.0061,106,78,202.02728148096227
BUZZUSDT,0.05,21,2.0,3,1.5,0.0061,146,216,201.87733468594456
BUZZUSDT,0.05,21,1.9,3,3.0,0.0061,134,110,201.6748691880037
BUZZUSDT,0.07,19,1.7,3,3.0,0.0061,110,82,201.6373546073924
BUZZUSDT,0.09,19,1.9,3,1.5,0.0061,75,88,201.5233075609814
BUZZUSDT,0.04,20,1.7,3,3.0,0.0061,141,121,201.4980234410596
BUZZUSDT,0.08,20,1.8,4,3.0,0.0061,70,65,201.3127633224337
BUZZUSDT,0.08,20,2.0,4,2.0,0.0061,69,86,201.1235605862369
BUZZUSDT,0.06,19,2.0,4,4.0,0.0061,76,58,201.01628593924613
BUZZUSDT,0.1,19,1.7,4,2.0,0.0061,53,71,200.7622076652991
BUZZUSDT,0.06,21,1.9,4,2.0,0.0061,93,131,200.603747237435
BUZZUSDT,0.08,19,1.9,3,2.0,0.0061,92,95,200.1234851260317
BUZZUSDT,0.09,18,1.7,4,1.0,0.0061,65,137,199.8972298506025
BUZZUSDT,0.07,21,1.7,3,1.5,0.0061,120,166,199.79254103132644
BUZZUSDT,0.05,18,2.2,3,2.0,0.0061,127,141,199.7346491742159
BUZZUSDT,0.07,21,1.9,3,3.0,0.0061,104,77,199.39805609397607
BUZZUSDT,0.07,21,1.7,4,4.0,0.0061,76,58,199.3082383623572
BUZZUSDT,0.07,18,1.7,4,4.0,0.0061,76,58,199.30608232137607
BUZZUSDT,0.07,20,1.7,4,4.0,0.0061,76,58,199.30229053908687
BUZZUSDT,0.08,19,1.7,4,1.0,0.0061,79,185,199.2510834723089
BUZZUSDT,0.09,21,2.0,3,2.0,0.0061,72,67,199.0707196841905
BUZZUSDT,0.09,21,1.9,3,2.0,0.0061,73,69,199.03507751820467
BUZZUSDT,0.06,19,1.9,4,2.0,0.0061,93,136,198.394886193874
BUZZUSDT,0.09,21,2.1,3,1.5,0.0061,67,73,198.3796906920172
BUZZUSDT,0.07,21,2.0,3,2.0,0.0061,106,107,198.02063059261312
BUZZUSDT,0.09,20,1.7,4,1.0,0.0061,65,138,197.90025931688848
BUZZUSDT,0.07,21,1.8,4,4.0,0.0061,75,58,197.8274367222621
BUZZUSDT,0.07,19,1.9,4,1.0,0.0061,83,198,197.2517167213213
BUZZUSDT,0.07,19,1.8,4,2.0,0.0061,84,120,197.1530557304302
BUZZUSDT,0.05,18,2.2,4,4.0,0.0061,79,62,197.13971910693635
BUZZUSDT,0.07,19,1.7,4,4.0,0.0061,76,58,197.12251867300176
BUZZUSDT,0.07,18,1.8,3,3.0,0.0061,108,81,197.1204126069492
BUZZUSDT,0.08,18,2.0,3,2.0,0.0061,86,87,196.8753227092189
BUZZUSDT,0.05,20,2.0,3,2.0,0.0061,144,164,196.8616576752817
BUZZUSDT,0.05,18,2.0,3,3.0,0.0061,130,108,196.74048178168613
BUZZUSDT,0.08,21,1.7,4,1.0,0.0061,80,186,196.7238647714212
BUZZUSDT,0.09,21,1.7,4,1.0,0.0061,66,140,196.51378447785072
BUZZUSDT,0.08,18,1.7,4,1.0,0.0061,78,181,196.43814672649845
BUZZUSDT,0.07,21,2.1,4,1.0,0.0061,74,166,196.42206138886112
BUZZUSDT,0.05,18,1.9,3,2.0,0.0061,147,174,196.16006150630432
BUZZUSDT,0.08,18,1.7,4,2.0,0.0061,75,100,196.06258929448765
BUZZUSDT,0.1,18,1.9,4,1.0,0.0061,47,87,195.99297625502592
BUZZUSDT,0.08,21,2.0,3,2.0,0.0061,89,89,195.84891709434143
BUZZUSDT,0.07,18,1.9,4,4.0,0.0061,71,53,195.4918665550568
BUZZUSDT,0.09,19,1.7,4,1.0,0.0061,65,139,195.43447363428507
BUZZUSDT,0.07,20,2.1,4,3.0,0.0061,70,66,195.26769852320623
BUZZUSDT,0.04,18,2.2,4,4.0,0.0061,86,68,195.18144435054745
BUZZUSDT,0.04,18,2.2,3,2.0,0.0061,139,158,195.09096624565865
BUZZUSDT,0.04,20,1.8,4,1.0,0.0061,119,303,195.0860129880841
BUZZUSDT,0.07,18,1.8,4,2.0,0.0061,83,120,195.01190524271385
BUZZUSDT,0.08,21,2.2,4,2.0,0.0061,64,78,194.64691239903112
BUZZUSDT,0.06,21,2.1,4,2.0,0.0061,87,122,194.2862568660209
BUZZUSDT,0.06,21,1.8,4,1.0,0.0061,99,255,194.25567588317065
BUZZUSDT,0.06,21,2.0,3,2.0,0.0061,122,135,193.92631273795016
BUZZUSDT,0.08,21,2.1,3,2.0,0.0061,84,83,193.8978868025458
BUZZUSDT,0.07,18,1.9,4,2.0,0.0061,80,114,193.79980955252745
BUZZUSDT,0.1,21,1.8,3,1.5,0.0061,65,77,193.61286329856625
BUZZUSDT,0.04,21,1.8,4,4.0,0.0061,83,69,193.53831286088405
BUZZUSDT,0.09,19,1.8,4,1.0,0.0061,61,127,193.30228197520464
BUZZUSDT,0.09,19,1.9,3,2.0,0.0061,74,73,193.05396474280928
BUZZUSDT,0.1,21,1.9,4,1.0,0.0061,48,93,192.9392925729284
BUZZUSDT,0.06,20,2.2,4,4.0,0.0061,75,56,192.6272405442256
BUZZUSDT,0.09,21,2.0,4,1.0,0.0061,55,106,192.60810668239552
BUZZUSDT,0.05,20,1.9,4,2.0,0.0061,100,148,192.5803811941148
BUZZUSDT,0.04,20,2.1,3,3.0,0.0061,134,112,192.4453904139522
BUZZUSDT,0.08,21,2.2,4,3.0,0.0061,61,52,192.21561299299864
BUZZUSDT,0.05,20,2.1,3,3.0,0.0061,130,105,192.08193672306737
BUZZUSDT,0.05,19,1.9,4,2.0,0.0061,102,153,191.95366574013048
BUZZUSDT,0.1,20,2.0,4,1.0,0.0061,44,79,191.85020503079383
BUZZUSDT,0.05,20,2.0,3,3.0,0.0061,135,109,191.639646229868
