market,BBW_THRESHOLD,BB_PERIOD,BB_STD_DEV,ATR_MULTIPLIER_TP,ATR_MULTIPLIER_SL,trading_fee,win_count,loss_count,pnl
AVAAIUSDT,0.04,21,1.9,4,1.0,0.0061,117,299,172.850498619151
AVAAIUSDT,0.08,21,1.8,3,1.0,0.0061,75,124,172.81229348260447
AVAAIUSDT,0.04,19,1.8,3,2.0,0.0061,156,192,172.78782852744314
AVAAIUSDT,0.05,21,1.9,2,2.0,0.0061,194,152,172.69480271045558
AVAAIUSDT,0.06,20,1.8,4,1.0,0.0061,88,213,172.56970311960762
AVAAIUSDT,0.05,21,1.7,4,1.0,0.0061,109,279,172.47418225408532
AVAAIUSDT,0.07,20,1.9,3,2.0,0.0061,91,97,172.3068585964792
AVAAIUSDT,0.05,18,1.7,4,2.0,0.0061,99,150,172.2958320763501
AVAAIUSDT,0.05,19,1.7,3,3.0,0.0061,143,111,171.91061214126864
AVAAIUSDT,0.05,18,1.8,3,3.0,0.0061,139,106,171.77088469527737
AVAAIUSDT,0.04,21,1.8,4,2.0,0.0061,107,164,171.46252726622083
AVAAIUSDT,0.04,21,1.9,3,3.0,0.0061,140,117,171.36600862946264
AVAAIUSDT,0.06,18,1.8,4,2.0,0.0061,87,127,171.09506419790466
AVAAIUSDT,0.05,20,1.7,4,1.0,0.0061,114,281,171.0829559494493
AVAAIUSDT,0.04,20,1.7,4,1.0,0.0061,126,319,170.88018513269645
AVAAIUSDT,0.05,18,2.1,3,3.0,0.0061,125,93,170.7964829790368
AVAAIUSDT,0.08,21,1.7,3,2.0,0.0061,80,82,170.71135467695993
AVAAIUSDT,0.05,19,1.8,3,1.0,0.0061,156,294,170.71051208868582
AVAAIUSDT,0.07,19,1.9,3,2.0,0.0061,93,96,170.57536153284113
AVAAIUSDT,0.04,21,1.7,4,1.0,0.0061,121,318,170.2890368345551
AVAAIUSDT,0.08,21,1.7,4,2.0,0.0061,61,80,170.0197196622944
AVAAIUSDT,0.05,20,2.0,2,1.5,0.0061,191,188,169.74072423360755
AVAAIUSDT,0.07,20,1.7,2,2.0,0.0061,140,105,169.5566150448103
AVAAIUSDT,0.08,21,1.8,2,1.0,0.0061,102,112,169.51651437108825
AVAAIUSDT,0.07,21,2.0,3,3.0,0.0061,88,62,169.05407340566373
AVAAIUSDT,0.04,20,1.9,4,1.0,0.0061,116,298,168.93265539870313
AVAAIUSDT,0.07,21,1.7,2,2.0,0.0061,139,105,168.6798201672767
AVAAIUSDT,0.05,18,2.2,3,3.0,0.0061,117,87,168.26510346884865
AVAAIUSDT,0.04,19,1.9,4,1.0,0.0061,117,297,168.1969758346872
AVAAIUSDT,0.07,21,1.8,2,1.0,0.0061,133,158,168.11190936684758
AVAAIUSDT,0.04,20,1.9,3,3.0,0.0061,139,117,168.02487042805183
AVAAIUSDT,0.07,21,1.8,1,1.0,0.0061,198,136,167.9530620077943
AVAAIUSDT,0.06,19,1.7,4,1.0,0.0061,95,229,167.5117812373051
AVAAIUSDT,0.04,18,1.8,4,1.0,0.0061,122,316,167.41777017350532
AVAAIUSDT,0.07,20,1.8,3,2.0,0.0061,93,102,167.1433706799861
AVAAIUSDT,0.07,21,1.8,2,2.0,0.0061,132,95,167.09345942562686
AVAAIUSDT,0.05,21,1.9,3,1.0,0.0061,144,274,166.9494479804595
AVAAIUSDT,0.07,19,1.8,2,2.0,0.0061,135,98,166.91918101118503
AVAAIUSDT,0.05,21,1.7,3,1.0,0.0061,158,307,166.45801578975306
AVAAIUSDT,0.05,19,1.7,4,1.0,0.0061,113,280,166.3448687815335
AVAAIUSDT,0.04,21,1.8,1,1.0,0.0061,419,356,166.1723484281959
AVAAIUSDT,0.04,20,1.9,3,1.0,0.0061,164,337,166.14815958680092
AVAAIUSDT,0.08,21,1.9,3,1.0,0.0061,70,116,165.74454116789795
AVAAIUSDT,0.04,21,1.9,1,1.0,0.0061,394,327,165.65231162879547
AVAAIUSDT,0.07,21,1.9,2,2.0,0.0061,125,89,165.5167254034363
AVAAIUSDT,0.08,21,1.7,2,1.0,0.0061,109,124,164.9346844399738
AVAAIUSDT,0.05,18,2.1,4,1.0,0.0061,92,221,164.73989493792786
AVAAIUSDT,0.08,18,1.8,2,2.0,0.0061,105,68,164.66186017468152
AVAAIUSDT,0.08,21,1.8,1,1.0,0.0061,151,97,164.27169617350128
AVAAIUSDT,0.05,18,1.8,2,2.0,0.0061,204,165,164.19740745527088
AVAAIUSDT,0.08,20,1.8,3,1.0,0.0061,75,126,163.909700105623
AVAAIUSDT,0.05,19,1.9,3,1.0,0.0061,145,274,163.87545739433722
AVAAIUSDT,0.08,20,1.9,3,1.0,0.0061,70,115,163.81773322631878
AVAAIUSDT,0.06,21,2.0,4,1.0,0.0061,83,187,163.7575907914244
AVAAIUSDT,0.05,18,1.9,3,1.0,0.0061,150,284,163.72209698377964
AVAAIUSDT,0.07,19,1.7,3,3.0,0.0061,102,76,163.69376567961191
AVAAIUSDT,0.07,18,1.7,4,1.0,0.0061,79,173,163.68281348335375
AVAAIUSDT,0.08,19,1.7,2,1.0,0.0061,108,122,163.25611934486244
AVAAIUSDT,0.08,20,1.8,2,1.0,0.0061,101,112,162.96634347922088
AVAAIUSDT,0.04,21,1.7,3,1.0,0.0061,177,371,162.7569526934896
AVAAIUSDT,0.07,20,1.9,3,1.0,0.0061,91,158,162.75034643026967
AVAAIUSDT,0.08,21,1.9,1,1.0,0.0061,141,88,161.93343321670832
AVAAIUSDT,0.04,19,1.8,4,2.0,0.0061,107,165,161.92766228204988
AVAAIUSDT,0.04,21,1.9,3,1.0,0.0061,164,339,161.84797555623857
AVAAIUSDT,0.04,19,1.8,3,1.0,0.0061,175,359,161.44371778778458
AVAAIUSDT,0.06,18,2.1,4,1.0,0.0061,76,166,161.36054704366776
AVAAIUSDT,0.05,19,1.9,2,2.0,0.0061,198,159,161.11781005485796
AVAAIUSDT,0.08,19,1.8,3,2.0,0.0061,78,77,160.99682578706813
AVAAIUSDT,0.05,19,2.0,2,1.5,0.0061,194,192,160.9536969615242
AVAAIUSDT,0.07,18,2.2,4,1.0,0.0061,53,104,160.6812243878676
AVAAIUSDT,0.07,20,1.8,2,2.0,0.0061,131,96,160.56048653915758
AVAAIUSDT,0.06,20,1.9,4,2.0,0.0061,84,122,160.49062009808097
AVAAIUSDT,0.07,20,1.7,3,3.0,0.0061,101,76,160.2429969110819
AVAAIUSDT,0.07,18,1.8,3,2.0,0.0061,95,100,160.21441768884094
AVAAIUSDT,0.05,20,2.0,4,1.0,0.0061,97,235,159.93727284019434
AVAAIUSDT,0.05,20,1.9,2,2.0,0.0061,193,153,159.75952504332403
AVAAIUSDT,0.05,19,1.9,3,3.0,0.0061,131,104,159.7100825327368
AVAAIUSDT,0.08,20,1.9,2,2.0,0.0061,98,62,159.70298153316952
