Market,Session,RSI Level
JSTUSDT,sydney,overbought
JUPUSDT,sydney,none
KASUSDT,sydney,overbought
KAVAUSDT,sydney,none
KEYUSDT,sydney,none
L3USDT,sydney,overbought
LAIUSDT,sydney,overbought
LISTAUSDT,sydney,none
LOOKSUSDT,sydney,both
LPTUSDT,sydney,none
LQTYUSDT,sydney,none
LRCUSDT,sydney,overbought
LTOUSDT,sydney,both
LUMIAUSDT,sydney,none
LUNA2USDT,sydney,none
MASKUSDT,sydney,overbought
MBLUSDT,sydney,both
MBOXUSDT,sydney,none
MEMEFIUSDT,sydney,none
MEMEUSDT,sydney,none
MERLUSDT,sydney,none
MEUSDT,sydney,none
MEWUSDT,sydney,none
MINAUSDT,sydney,none
MONUSDT,sydney,none
MOTHERUSDT,sydney,both
MOVEUSDT,sydney,none
MOVRUSDT,sydney,none
MTLUSDT,sydney,both
MYROUSDT,sydney,none
NEARUSDT,sydney,none
NEIROETHUSDT,sydney,overbought
NMRUSDT,sydney,none
NOTUSDT,sydney,both
NULSUSDT,sydney,none
OLUSDT,sydney,none
OMUSDT,sydney,both
ORBSUSDT,sydney,overbought
ORDERUSDT,sydney,both
PENGUSDT,sydney,none
PENGUUSDT,sydney,none
PEOPLEUSDT,sydney,overbought
PHBUSDT,sydney,none
PIRATEUSDT,sydney,none
PNUTUSDT,sydney,none
POLYXUSDT,sydney,both
PORTALUSDT,sydney,none
POWRUSDT,sydney,both
PROSUSDT,sydney,none
QIUSDT,sydney,none
QNTUSDT,sydney,none
RAREUSDT,sydney,none
REEFUSDT,sydney,none
RENUSDT,sydney,none
REZUSDT,sydney,none
RIFSOLUSDT,sydney,none
RIFUSDT,sydney,both
RSRUSDT,sydney,none
RSS3USDT,sydney,overbought
RVNUSDT,sydney,none
SAGAUSDT,sydney,none
SANDUSDT,sydney,none
SCRTUSDT,sydney,both
SEIUSDT,sydney,none
SENDUSDT,sydney,both
SFPUSDT,sydney,none
SILLYUSDT,sydney,none
SLERFUSDT,sydney,none
SLPUSDT,sydney,none
SNTUSDT,sydney,both
SOLOUSDT,sydney,both
SONICUSDT,sydney,none
SPELLUSDT,sydney,none
SPXUSDT,sydney,none
SSVUSDT,sydney,overbought
STEEMUSDT,sydney,both
STGUSDT,sydney,overbought
STMXUSDT,sydney,both
STPTUSDT,sydney,both
STRKUSDT,sydney,none
STXUSDT,sydney,none
SUNUSDT,sydney,overbought
SYNUSDT,sydney,none
THEUSDT,sydney,none
TIAUSDT,sydney,overbought
TONUSDT,sydney,overbought
TWTUSDT,sydney,none
UMAUSDT,sydney,none
UNIUSDT,sydney,both
USDEUSDT,sydney,overbought
USUALUSDT,sydney,both
VIDTUSDT,sydney,none
VIRTUALUSDT,sydney,both
VOXELUSDT,sydney,none
VRAUSDT,sydney,overbought
WIFUSDT,sydney,none
WLDUSDT,sydney,overbought
WOOUSDT,sydney,none
WUSDT,sydney,none
XAIUSDT,sydney,none
XCHUSDT,sydney,overbought
