Trading Pair,Biggest Win,Biggest Loss,Average Win,Average Loss,Risk-Reward Ratio,Win Rate,Longest Win Streak,Longest Loss Streak,Last PnL Value,Total Wins,Total Losses
RSRUSDT,14.265930651341003,-8.671979574970486,3.7491502451235625,-2.234163351190479,1.6781003247259514,0.3269230769230769,3,9,-15.419769822753738,63.73555416710056,-78.19571729166677
APEUSDT,11.67744872511351,-9.556092765157006,3.352817552986165,-2.467037907108178,1.3590458190066013,0.3555555555555555,2,8,-15.476384136807772,53.64508084777864,-71.54409930613716
DGBUSDT,10.100432099803747,-5.865165716547902,3.89335127552202,-2.080923270697573,1.870973010079742,0.2592592592592592,2,5,-15.703293851004236,27.25345892865414,-41.61846541395146
TRBUSDT,13.106979019073574,-8.006099999999996,3.79651929745504,-2.643066125294615,1.4364072321617958,0.3673469387755102,4,7,-15.736830052878132,68.33734735419071,-81.93504988413306
FIDAUSDT,10.85472059533388,-8.204032053175773,3.4610141142464004,-2.2900479735045005,1.5113282142076483,0.3333333333333333,3,7,-15.754769142589808,55.376225827942406,-73.28153515214402
ACXUSDT,7.156865279949962,-5.677240939597303,3.1793614642168886,-2.1687538339908343,1.465985403408548,0.3235294117647059,3,10,-15.862543339511769,34.97297610638577,-49.88133818178919
ALICEUSDT,13.716026929674117,-8.573308271787305,3.938153617190088,-2.580213767023668,1.5262896692985373,0.3333333333333333,3,7,-15.878297551449151,43.319689789090965,-56.7647028745207
OMNIUSDT,12.598184103720412,-11.34435477948136,3.656937434196976,-2.4349334497601225,1.5018634018754144,0.3157894736842105,3,5,-15.912746753923276,43.88324921036372,-63.30826969376318
DOGUSDT,19.201359207459188,-15.22349130434782,4.25361764136947,-2.5161479447141617,1.6905276378145115,0.3534482758620689,4,8,-15.939012138670067,174.39832329614828,-188.7110958535621
ICXUSDT,10.39466335877862,-6.601465418894822,4.556763920268685,-2.4811699795912667,1.836538390255447,0.2352941176470588,1,5,-15.954490390391634,18.22705568107474,-32.25520973468647
CTSIUSDT,9.997325830763966,-6.567779790026236,3.5438546782184246,-2.4307386683139574,1.4579332300977308,0.3214285714285714,3,6,-15.980355354861503,31.89469210396582,-46.18403469796519
VTHOUSDT,10.493519579000749,-8.315364607864918,4.462991043487698,-2.750031783501914,1.6228870772556987,0.3469387755102041,3,4,-15.98392558277036,75.87084773929085,-88.00101707206125
1000XECUSDT,7.800759205776185,-4.49918755760369,5.397553516905111,-2.792577189732893,1.932821601762557,0.1818181818181818,1,4,-15.99352435359938,10.795107033810222,-25.13319470759604
VIDTUSDT,10.562012400733064,-7.988840021574985,3.6858988108594266,-2.212797194535832,1.6657192172699768,0.3023255813953488,3,7,-16.440136274155527,47.91668454117254,-66.38391583607496
APTUSDT,10.907085913185904,-6.353175743048887,3.673823395873081,-2.1035552426229245,1.746482964379955,0.3023255813953488,3,7,-16.447252044251602,47.75970414635005,-63.10665727868773
ALPHAUSDT,11.693345284921833,-6.693297536295647,3.3733306681169,-2.270674832814985,1.485607106471928,0.3235294117647059,4,5,-16.66288201124418,37.1066373492859,-52.22552115474466
SDUSDT,16.493023858710693,-13.118405854241338,5.429770290096615,-3.158180106167818,1.7192718931679858,0.3461538461538461,3,8,-16.80066849472237,146.6037978326086,-161.0671854145587
KDAUSDT,13.336466943674983,-9.530844697564804,3.923236726317419,-2.23906257353074,1.7521782431166866,0.3137254901960784,3,6,-16.82228554018515,62.7717876210787,-78.3671900735759
NULSUSDT,11.677911352885529,-8.052553753629203,3.956136291716552,-2.221552730520009,1.7807978344905284,0.2758620689655172,2,6,-16.906635977377483,31.649090333732417,-46.65260734092019
BSVUSDT,9.762460264502552,-5.810177010192518,4.950570731265183,-3.031784543019598,1.6328900226974938,0.2307692307692307,2,5,-16.908541218505444,14.851712193795548,-30.31784543019598
CHESSUSDT,7.9287931841302175,-8.393798042870465,3.0370352004154,-2.1788802124396622,1.3938513843378628,0.3404255319148936,3,8,-17.147229176084565,48.5925632066464,-67.54528658562953
JOEUSDT,11.353900000000008,-6.311982352941174,3.973764021601217,-2.149098933517215,1.84903726842289,0.2777777777777778,2,4,-17.24514206643653,39.737640216012174,-55.87657227144759
AAVEUSDT,10.928196592795068,-5.817594252873558,3.850297760385186,-2.354717259490508,1.6351422850734436,0.3023255813953488,2,6,-17.36098199663246,50.05387088500741,-70.64151778471523
TOKENUSDT,12.677247713546167,-6.907882328403497,4.084525886193465,-2.129345484269197,1.918207222063496,0.2857142857142857,2,6,-17.394661805965352,65.35241417909543,-85.17381937076786
GASUSDT,10.61476353608571,-5.957483067896062,4.119040920296007,-2.377768574640045,1.732313633979102,0.2272727272727272,1,7,-17.459736015270934,20.595204601480035,-40.42206576888077
MBLUSDT,4.29386560027519,-3.677289146049482,3.4053675925722464,-2.192129803630384,1.553451619029412,0.25,3,12,-17.519642401403985,17.026837962861233,-32.88194705445575
TNSRUSDT,5.134432544378708,-6.183449717701762,3.113702238737865,-2.108890729258185,1.4764644727861878,0.3559322033898305,2,11,-17.61334355545874,65.38774701349517,-80.13784771181103
OSMOUSDT,8.553570781892997,-7.575518029669087,3.516283543899701,-2.791058439041479,1.2598387388503705,0.3333333333333333,2,7,-17.708899777310027,28.130268351197607,-44.65693502466367
SXPUSDT,10.556532696390658,-5.748862221167537,4.535686147629117,-2.331564740076248,1.9453399983569784,0.2727272727272727,2,7,-17.74977887440335,40.82117532866205,-55.95755376182995
XTZUSDT,9.786225677348376,-5.128262966637728,4.586449759325843,-2.1723890844680693,2.1112469180210782,0.2,2,6,-17.8154995388656,18.34579903730337,-34.75822535148911
